,sku,price,attribute
138,AMO60E,68990,4
139,AMO60E,68990,5
140,AMO60P,95990,2
141,AMO60P,95990,3
142,AMO60P,95990,4
143,AMO60P,95990,5
144,AMO70,74990,2
145,AMO70,74990,3
146,AMO70,74990,4
147,AMO70,74990,5
148,AMO80,79990,2
149,AMO80,79990,3
150,AMO80,79990,4
151,AMO80,79990,5
152,AMO80P,112990,2
153,AMO80P,112990,3
154,AMO80P,112990,4
155,AMO80P,112990,5
156,AMO90,82990,2
157,AMO90,82990,3
158,AMO90,82990,4
159,AMO90,82990,5
160,AMO90P,118990,2
161,AMO90P,118990,3
162,AMO90P,118990,4
163,AMO90P,118990,5
164,AR20,68990,2
165,AR20,68990,3
166,AR20,68990,4
167,AR20,68990,5
168,AS105,83990,2
169,AS105,83990,3
170,AS105,83990,4
171,AS105,83990,5
172,AS110,84990,2
173,AS110,84990,3
174,AS110,84990,4
175,AS110,84990,5
176,AS110MAGIC,81990,2
177,AS110MAGIC,81990,3
178,AS110MAGIC,81990,4
179,AS110MAGIC,81990,5
180,AS110P,128990,2
181,AS110P,128990,3
182,AS110P,128990,4
183,AS110P,128990,5
184,AS110VT,81990,2
185,AS110VT,81990,3
186,AS110VT,81990,4
187,AS110VT,81990,5
188,AS95,79990,2
189,AS95,79990,3
190,AS95,79990,4
191,AS95,79990,5
192,ASL90,93990,2
193,ASL90,93990,3
194,ASL90,93990,4
195,ASL90,93990,5
196,ASM105,79990,2
197,ASM105,79990,3
198,ASM105,79990,4
199,ASM105,79990,5
200,ASM110,80990,2
201,ASM110,80990,3
202,ASM110,80990,4
203,ASM110,80990,5
204,ASM95,75990,2
205,ASM95,75990,3
206,ASM95,75990,4
207,ASM95,75990,5
208,ASZB45,75990,2
209,ASZB45,75990,3
210,ASZB45,75990,4
211,ASZB45,75990,5
212,ASZB60,83990,2
213,ASZB60,83990,3
214,ASZB60,83990,4
215,ASZB60,83990,5
216,ASZHS45,87990,2
217,ASZHS45,87990,3
218,ASZHS45,87990,4
219,ASZHS45,87990,5
220,ASZHS60,95990,2
221,ASZHS60,95990,3
222,ASZHS60,95990,4
223,ASZHS60,95990,5
224,ATF60,60990,2
225,ATF60,60990,3
226,ATF60,60990,4
227,ATF60,60990,5
228,ATF60P,85990,2
229,ATF60P,85990,3
230,ATF60P,85990,4
231,ATF60P,85990,5
232,AVZ30,44990,2
233,AVZ30,44990,3
234,AVZ30,44990,4
235,AVZ30,44990,5
236,EF50,62990,2
237,EF50,62990,3
238,EF50,62990,4
239,EF50,62990,5
240,EF60,65990,2
241,EF60,65990,3
242,EF60,65990,4
243,EF60,65990,5
244,EF60_72,70990,2
245,EF60_72,70990,3
246,EF60_72,70990,4
247,EF60_72,70990,5
248,EF80_72,0,2
249,EF80_72,0,3
250,EF80_72,0,4
251,EF80_72,0,5
252,EFT50,55990,2
253,EFT50,55990,3
254,EFT50,55990,4
255,EFT50,55990,5
256,EFT50_68,61990,2
257,EFT50_68,61990,3
258,EFT50_68,61990,4
259,EFT50_68,61990,5
260,EFT50_68E,60990,2
261,EFT50_68E,60990,3
262,EFT50_68E,60990,4
263,EFT50_68E,60990,5
264,EFT50F,70990,2
265,EFT50F,70990,3
266,EFT50F,70990,4
267,EFT50F,70990,5
268,EFT60,63990,2
269,EFT60,63990,3
270,EFT60,63990,4
271,EFT60,63990,5
272,EFT60_68,65990,2
273,EFT60_68,65990,3
274,EFT60_68,65990,4
275,EFT60_68,65990,5
276,EFT60_68E,65990,2
277,EFT60_68E,65990,3
278,EFT60_68E,65990,4
279,EFT60_68E,65990,5
280,EFT60F,73990,2
281,EFT60F,73990,3
282,EFT60F,73990,4
283,EFT60F,73990,5
284,EFT90,0,2
