PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value
HUF-2025-Q12603,74990,PR00011,AR20,7
HUF-2025-Q12603,62990,PR00011,ASZB45,1
HUF-2025-Q12603,73990,PR00011,ASZB45,2
HUF-2025-Q12603,73990,PR00011,ASZB45,3
HUF-2025-Q12603,73990,PR00011,ASZB45,4
HUF-2025-Q12603,73990,PR00011,ASZB45,5
HUF-2025-Q12603,64990,PR00011,ASZB60,1
HUF-2025-Q12603,85990,PR00011,ASZB60,2
HUF-2025-Q12603,85990,PR00011,ASZB60,3
HUF-2025-Q12603,85990,PR00011,ASZB60,4
HUF-2025-Q12603,85990,PR00011,ASZB60,5
HUF-2025-Q12603,46990,PR00011,AMO60E_J,1
HUF-2025-Q12603,62990,PR00011,AMO60E_J,2
HUF-2025-Q12603,62990,PR00011,AMO60E_J,3
HUF-2025-Q12603,62990,PR00011,AMO60E_J,4
HUF-2025-Q12603,62990,PR00011,AMO60E_J,5
HUF-2025-Q12603,63990,PR00011,AMO60E_J,7
HUF-2025-Q12603,46990,PR00011,AMO60E_B,1
HUF-2025-Q12603,62990,PR00011,AMO60E_B,2
HUF-2025-Q12603,62990,PR00011,AMO60E_B,3
HUF-2025-Q12603,62990,PR00011,AMO60E_B,4
HUF-2025-Q12603,62990,PR00011,AMO60E_B,5
HUF-2025-Q12603,63990,PR00011,AMO60E_B,7
HUF-2025-Q12603,46990,PR00011,AMO60_K,1
HUF-2025-Q12603,62990,PR00011,AMO60_K,2
HUF-2025-Q12603,62990,PR00011,AMO60_K,3
HUF-2025-Q12603,62990,PR00011,AMO60_K,4
HUF-2025-Q12603,62990,PR00011,AMO60_K,5
HUF-2025-Q12603,64990,PR00011,AMO60_K,7
HUF-2025-Q12603,47990,PR00011,AMO70,1
HUF-2025-Q12603,69990,PR00011,AMO70,2
HUF-2025-Q12603,69990,PR00011,AMO70,3
HUF-2025-Q12603,69990,PR00011,AMO70,4
HUF-2025-Q12603,69990,PR00011,AMO70,5
HUF-2025-Q12603,71990,PR00011,AMO70,7
HUF-2025-Q12603,48990,PR00011,AMO80,1
HUF-2025-Q12603,71990,PR00011,AMO80,2
HUF-2025-Q12603,71990,PR00011,AMO80,3
HUF-2025-Q12603,71990,PR00011,AMO80,4
HUF-2025-Q12603,71990,PR00011,AMO80,5
HUF-2025-Q12603,73990,PR00011,AMO80,7
HUF-2025-Q12603,49990,PR00011,AMO90,1
HUF-2025-Q12603,76990,PR00011,AMO90,2
HUF-2025-Q12603,76990,PR00011,AMO90,3
HUF-2025-Q12603,76990,PR00011,AMO90,4
HUF-2025-Q12603,76990,PR00011,AMO90,5
HUF-2025-Q12603,78990,PR00011,AMO90,7
HUF-2025-Q12603,51990,PR00011,AMO100,1
HUF-2025-Q12603,83990,PR00011,AMO100,2
HUF-2025-Q12603,83990,PR00011,AMO100,3
HUF-2025-Q12603,83990,PR00011,AMO100,4
HUF-2025-Q12603,83990,PR00011,AMO100,5
HUF-2025-Q12603,85990,PR00011,AMO100,7
HUF-2025-Q12603,5990,PR00011,LMO72_45,1
HUF-2025-Q12603,17990,PR00011,LMO72_45,2
HUF-2025-Q12603,17990,PR00011,LMO72_45,3
HUF-2025-Q12603,17990,PR00011,LMO72_45,4
HUF-2025-Q12603,17990,PR00011,LMO72_45,5
HUF-2025-Q12603,17990,PR00011,LMO72_45,7
HUF-2025-Q12603,4990,PR00011,LMO59_45,1
HUF-2025-Q12603,13990,PR00011,LMO59_45,2
HUF-2025-Q12603,13990,PR00011,LMO59_45,3
HUF-2025-Q12603,13990,PR00011,LMO59_45,4
HUF-2025-Q12603,13990,PR00011,LMO59_45,5
HUF-2025-Q12603,14490,PR00011,LMO59_45,7
HUF-2025-Q12603,7990,PR00011,LMO72_60,1
HUF-2025-Q12603,23490,PR00011,LMO72_60,2
HUF-2025-Q12603,23490,PR00011,LMO72_60,3
HUF-2025-Q12603,23490,PR00011,LMO72_60,4
HUF-2025-Q12603,23490,PR00011,LMO72_60,5
HUF-2025-Q12603,23490,PR00011,LMO72_60,7
HUF-2025-Q12603,6490,PR00011,LMO59_60,1
HUF-2025-Q12603,18990,PR00011,LMO59_60,2
HUF-2025-Q12603,18990,PR00011,LMO59_60,3
HUF-2025-Q12603,18990,PR00011,LMO59_60,4
HUF-2025-Q12603,18990,PR00011,LMO59_60,5
HUF-2025-Q12603,19390,PR00011,LMO59_60,7
HUF-2025-Q12603,51990,PR00011,ATF60,1
HUF-2025-Q12603,54990,PR00011,ATF60,2
HUF-2025-Q12603,54990,PR00011,ATF60,3
HUF-2025-Q12603,54990,PR00011,ATF60,4
HUF-2025-Q12603,54990,PR00011,ATF60,5
HUF-2025-Q12603,55990,PR00011,ATF60,7
HUF-2025-Q12603,55990,PR00011,AML40P_J,1
HUF-2025-Q12603,67990,PR00011,AML40P_J,2
HUF-2025-Q12603,67990,PR00011,AML40P_J,3
HUF-2025-Q12603,67990,PR00011,AML40P_J,4
HUF-2025-Q12603,67990,PR00011,AML40P_J,5
HUF-2025-Q12603,68990,PR00011,AML40P_J,7
HUF-2025-Q12603,55990,PR00011,AML40P_B,1
HUF-2025-Q12603,67990,PR00011,AML40P_B,2
HUF-2025-Q12603,67990,PR00011,AML40P_B,3
HUF-2025-Q12603,67990,PR00011,AML40P_B,4
HUF-2025-Q12603,67990,PR00011,AML40P_B,5
HUF-2025-Q12603,68990,PR00011,AML40P_B,7
HUF-2025-Q12603,55990,PR00011,AML45P_J,1
HUF-2025-Q12603,71990,PR00011,AML45P_J,2
HUF-2025-Q12603,71990,PR00011,AML45P_J,3
HUF-2025-Q12603,71990,PR00011,AML45P_J,4
HUF-2025-Q12603,71990,PR00011,AML45P_J,5
HUF-2025-Q12603,73990,PR00011,AML45P_J,7
HUF-2025-Q12603,55990,PR00011,AML45P_B,1
HUF-2025-Q12603,71990,PR00011,AML45P_B,2
HUF-2025-Q12603,71990,PR00011,AML45P_B,3
HUF-2025-Q12603,71990,PR00011,AML45P_B,4
HUF-2025-Q12603,71990,PR00011,AML45P_B,5
HUF-2025-Q12603,73990,PR00011,AML45P_B,7
HUF-2025-Q12603,63990,PR00011,AML60P_J,1
HUF-2025-Q12603,83990,PR00011,AML60P_J,2
HUF-2025-Q12603,83990,PR00011,AML60P_J,3
HUF-2025-Q12603,83990,PR00011,AML60P_J,4
HUF-2025-Q12603,83990,PR00011,AML60P_J,5
HUF-2025-Q12603,84990,PR00011,AML60P_J,7
HUF-2025-Q12603,79990,PR00011,AML90P,1
HUF-2025-Q12603,131990,PR00011,AML90P,2
HUF-2025-Q12603,131990,PR00011,AML90P,3
HUF-2025-Q12603,131990,PR00011,AML90P,4
HUF-2025-Q12603,131990,PR00011,AML90P,5
HUF-2025-Q12603,133990,PR00011,AML90P,7
HUF-2025-Q12603,61990,PR00011,AF40,1
HUF-2025-Q12603,118990,PR00011,AF40,2
HUF-2025-Q12603,118990,PR00011,AF40,3
HUF-2025-Q12603,118990,PR00011,AF40,4
HUF-2025-Q12603,118990,PR00011,AF40,5
HUF-2025-Q12603,140990,PR00011,AF40,7
HUF-2025-Q12603,62990,PR00011,AF45,1
HUF-2025-Q12603,122990,PR00011,AF45,2
HUF-2025-Q12603,122990,PR00011,AF45,3
HUF-2025-Q12603,122990,PR00011,AF45,4
HUF-2025-Q12603,122990,PR00011,AF45,5
HUF-2025-Q12603,144990,PR00011,AF45,7
HUF-2025-Q12603,63990,PR00011,AF50,1
HUF-2025-Q12603,127990,PR00011,AF50,2
HUF-2025-Q12603,127990,PR00011,AF50,3
HUF-2025-Q12603,127990,PR00011,AF50,4
HUF-2025-Q12603,127990,PR00011,AF50,5
HUF-2025-Q12603,149990,PR00011,AF50,7
HUF-2025-Q12603,64990,PR00011,AF60,1
HUF-2025-Q12603,136990,PR00011,AF60,2
HUF-2025-Q12603,136990,PR00011,AF60,3
HUF-2025-Q12603,136990,PR00011,AF60,4
HUF-2025-Q12603,136990,PR00011,AF60,5
HUF-2025-Q12603,158990,PR00011,AF60,7
HUF-2025-Q12603,83990,PR00011,AF80,1
HUF-2025-Q12603,153990,PR00011,AF80,2
HUF-2025-Q12603,153990,PR00011,AF80,3
HUF-2025-Q12603,153990,PR00011,AF80,4
HUF-2025-Q12603,153990,PR00011,AF80,5
HUF-2025-Q12603,175990,PR00011,AF80,7
HUF-2025-Q12603,101990,PR00011,AF90,1
HUF-2025-Q12603,165990,PR00011,AF90,2
HUF-2025-Q12603,165990,PR00011,AF90,3
HUF-2025-Q12603,165990,PR00011,AF90,4
HUF-2025-Q12603,165990,PR00011,AF90,5
HUF-2025-Q12603,187990,PR00011,AF90,7
HUF-2025-Q12603,8490,PR00011,LOTA_OTA,1
HUF-2025-Q12603,8490,PR00011,LOTA_OTA,2
HUF-2025-Q12603,8490,PR00011,LOTA_OTA,3
HUF-2025-Q12603,8490,PR00011,LOTA_OTA,4
HUF-2025-Q12603,8490,PR00011,LOTA_OTA,5
HUF-2025-Q12603,12590,PR00011,LOTA_OTA,7
HUF-2025-Q12603,7490,PR00011,LOTA_OTAF,1
HUF-2025-Q12603,7390,PR00011,LOTA_OTAF,2
HUF-2025-Q12603,7390,PR00011,LOTA_OTAF,3
HUF-2025-Q12603,7390,PR00011,LOTA_OTAF,4
HUF-2025-Q12603,7390,PR00011,LOTA_OTAF,5
HUF-2025-Q12603,10990,PR00011,LOTA_OTAF,7
HUF-2025-Q12603,21990,PR00011,LOTA_OTAA,1
HUF-2025-Q12603,21990,PR00011,LOTA_OTAA,2
HUF-2025-Q12603,21990,PR00011,LOTA_OTAA,3
HUF-2025-Q12603,21990,PR00011,LOTA_OTAA,4
HUF-2025-Q12603,21990,PR00011,LOTA_OTAA,5
HUF-2025-Q12603,32690,PR00011,LOTA_OTAA,7
HUF-2025-Q12603,53990,PR00011,AS95_J,1
HUF-2025-Q12603,66990,PR00011,AS95_J,2
HUF-2025-Q12603,66990,PR00011,AS95_J,3
HUF-2025-Q12603,66990,PR00011,AS95_J,4
HUF-2025-Q12603,66990,PR00011,AS95_J,5
HUF-2025-Q12603,67990,PR00011,AS95_J,7
HUF-2025-Q12603,53990,PR00011,AS95_B,1
HUF-2025-Q12603,66990,PR00011,AS95_B,2
HUF-2025-Q12603,66990,PR00011,AS95_B,3
HUF-2025-Q12603,66990,PR00011,AS95_B,4
HUF-2025-Q12603,66990,PR00011,AS95_B,5
HUF-2025-Q12603,67990,PR00011,AS95_B,7
HUF-2025-Q12603,46990,PR00011,ASM95_J,1
HUF-2025-Q12603,62990,PR00011,ASM95_J,2
HUF-2025-Q12603,62990,PR00011,ASM95_J,3
HUF-2025-Q12603,62990,PR00011,ASM95_J,4
HUF-2025-Q12603,62990,PR00011,ASM95_J,5
HUF-2025-Q12603,63990,PR00011,ASM95_J,7
HUF-2025-Q12603,46990,PR00011,ASM95_B,1
HUF-2025-Q12603,62990,PR00011,ASM95_B,2
HUF-2025-Q12603,62990,PR00011,ASM95_B,3
HUF-2025-Q12603,62990,PR00011,ASM95_B,4
HUF-2025-Q12603,62990,PR00011,ASM95_B,5
HUF-2025-Q12603,63990,PR00011,ASM95_B,7
HUF-2025-Q12603,54990,PR00011,AS105_J,1
HUF-2025-Q12603,69990,PR00011,AS105_J,2
HUF-2025-Q12603,69990,PR00011,AS105_J,3
HUF-2025-Q12603,69990,PR00011,AS105_J,4
HUF-2025-Q12603,69990,PR00011,AS105_J,5
HUF-2025-Q12603,71990,PR00011,AS105_J,7
HUF-2025-Q12603,54990,PR00011,AS105_B,1
HUF-2025-Q12603,69990,PR00011,AS105_B,2
HUF-2025-Q12603,69990,PR00011,AS105_B,3
HUF-2025-Q12603,69990,PR00011,AS105_B,4
HUF-2025-Q12603,69990,PR00011,AS105_B,5
HUF-2025-Q12603,71990,PR00011,AS105_B,7
HUF-2025-Q12603,49990,PR00011,ASM105_J,1
HUF-2025-Q12603,63990,PR00011,ASM105_J,2
HUF-2025-Q12603,63990,PR00011,ASM105_J,3
HUF-2025-Q12603,63990,PR00011,ASM105_J,4
HUF-2025-Q12603,63990,PR00011,ASM105_J,5
HUF-2025-Q12603,67990,PR00011,ASM105_J,7
HUF-2025-Q12603,49990,PR00011,ASM105_B,1
HUF-2025-Q12603,63990,PR00011,ASM105_B,2
HUF-2025-Q12603,63990,PR00011,ASM105_B,3
HUF-2025-Q12603,63990,PR00011,ASM105_B,4
